Week,public_road_mileage
2000-08-28,3944495.0
2000-09-04,3944862.0
2000-09-11,3945229.0
2000-09-18,3945596.0
2000-09-25,3945963.0
2000-10-02,3946330.0
2000-10-09,3946697.0
2000-10-16,3947064.0
2000-10-23,3947431.0
2000-10-30,3947798.0
2000-11-06,3948165.0
2000-11-13,3948532.0
2000-11-20,3948899.0
2000-11-27,3949266.0
2000-12-04,3949633.0
2000-12-11,3950000.0
2000-12-18,3950367.0
2000-12-25,3950734.0
2001-01-02,3951101.0
2001-01-09,3951330.5094339624
2001-01-16,3951560.0188679243
2001-01-23,3951789.5283018867
2001-01-30,3952019.037735849
2001-02-06,3952248.547169811
2001-02-13,3952478.0566037735
2001-02-20,3952707.566037736
2001-02-27,3952937.0754716983
2001-03-06,3953166.5849056602
2001-03-13,3953396.0943396227
2001-03-20,3953625.603773585
2001-03-27,3953855.113207547
2001-04-03,3954084.6226415094
2001-04-10,3954314.132075472
2001-04-17,3954543.6415094337
2001-04-24,3954773.150943396
2001-05-01,3955002.6603773586
2001-05-08,3955232.169811321
2001-05-15,3955461.679245283
2001-05-22,3955691.1886792453
2001-05-29,3955920.6981132077
2001-06-05,3956150.2075471696
2001-06-12,3956379.716981132
2001-06-19,3956609.2264150945
2001-06-26,3956838.7358490564
2001-07-03,3957068.245283019
2001-07-10,3957297.754716981
2001-07-17,3957527.2641509436
2001-07-24,3957756.7735849055
2001-07-31,3957986.283018868
2001-08-07,3958215.7924528304
2001-08-14,3958445.3018867923
2001-08-21,3958674.8113207547
2001-08-28,3958904.320754717
2001-09-04,3959133.830188679
2001-09-11,3959363.3396226414
2001-09-18,3959592.849056604
2001-09-25,3959822.3584905663
2001-10-02,3960051.867924528
2001-10-09,3960281.3773584906
2001-10-16,3960510.886792453
2001-10-23,3960740.396226415
2001-10-30,3960969.9056603773
2001-11-06,3961199.4150943398
2001-11-13,3961428.9245283017
2001-11-20,3961658.433962264
2001-11-27,3961887.9433962265
2001-12-04,3962117.452830189
2001-12-11,3962346.962264151
2001-12-18,3962576.4716981133
2001-12-25,3962805.9811320757
2002-01-01,3963035.4905660376
2002-01-07,3963265.0
2002-01-14,3963618.9615384615
2002-01-21,3963972.923076923
2002-01-28,3964326.8846153845
2002-02-04,3964680.846153846
2002-02-11,3965034.8076923075
2002-02-18,3965388.769230769
2002-02-25,3965742.730769231
2002-03-04,3966096.6923076925
2002-03-11,3966450.653846154
2002-03-18,3966804.6153846155
2002-03-25,3967158.576923077
2002-04-01,3967512.5384615385
2002-04-08,3967866.5
2002-04-15,3968220.4615384615
2002-04-22,3968574.423076923
2002-04-29,3968928.3846153845
2002-05-06,3969282.346153846
2002-05-13,3969636.3076923075
2002-05-20,3969990.269230769
2002-05-27,3970344.230769231
2002-06-03,3970698.1923076925
2002-06-10,3971052.153846154
2002-06-17,3971406.1153846155
2002-06-24,3971760.076923077
2002-07-01,3972114.0384615385
2002-07-08,3972468.0
2002-07-15,3972821.9615384615
2002-07-22,3973175.923076923
2002-07-29,3973529.8846153845
2002-08-05,3973883.846153846
2002-08-12,3974237.8076923075
2002-08-19,3974591.769230769
2002-08-26,3974945.730769231
2002-09-02,3975299.6923076925
2002-09-09,3975653.653846154
2002-09-16,3976007.6153846155
2002-09-23,3976361.576923077
2002-09-30,3976715.5384615385
2002-10-07,3977069.5
2002-10-14,3977423.4615384615
2002-10-21,3977777.423076923
