Weekly,USMexAdjClose
2016-09-12,19.58482933
2016-09-19,19.79110909
2016-09-26,19.39450073
2016-10-03,18.98312950
2016-10-10,19.00621033
2016-10-17,18.61212921
2016-10-24,19.00522041
2016-10-31,18.58354950
2016-11-07,20.86075020
2016-11-14,20.64653015
2016-11-21,20.63520050
2016-11-28,20.70364952
2016-12-05,20.31481934
2016-12-12,20.43874931
2016-12-19,20.58772087
2016-12-26,20.63484955
2017-01-02,21.24279976
2017-01-09,21.50510979
2017-01-16,21.51429939
2017-01-23,20.90870094
2017-01-30,20.38360023
2017-02-06,20.32247925
2017-02-13,20.44639969
2017-02-20,19.90309906
2017-02-27,19.56236076
2017-03-06,19.60124969
2017-03-13,19.07290077
2017-03-20,18.77909088
2017-03-27,18.70590973
2017-04-03,18.65654945
2017-04-10,18.50374985
2017-04-17,18.62520027
2017-04-24,18.81575966
2017-05-01,18.94450951
2017-05-08,18.77555084
2017-05-15,18.71710014
2017-05-22,18.48913956
2017-05-29,18.71669960
2017-06-05,18.13973045
2017-06-12,17.92725945
2017-06-19,18.00250053
2017-06-26,18.08835030
2017-07-03,18.08136940
2017-07-10,17.57366943
2017-07-17,17.63681030
2017-07-24,17.75959969
2017-07-31,17.85713005
2017-08-07,17.81459999
2017-08-14,17.71843910
2017-08-21,17.61630058
2017-08-28,17.81296921
2017-09-04,17.73035049
2017-09-11,17.62199974
2017-09-18,17.73690033
2017-09-25,18.12639999
2017-10-02,18.56889915
2017-10-09,18.92604065
2017-10-16,18.99080086
2017-10-23,19.15549088
2017-10-30,19.16699982
2017-11-06,19.10588074
2017-11-13,18.94251060
2017-11-20,18.54879951
2017-11-27,18.65320015
2017-12-04,18.94915009
2017-12-11,19.12096977
2017-12-18,19.69985008
2017-12-25,19.63999939
2018-01-01,19.18301010
2018-01-08,18.97929955
2018-01-15,18.58536911
2018-01-22,18.47559929
2018-01-29,18.63509941
2018-02-05,18.69050026
2018-02-12,18.47430038
2018-02-19,18.56204987
2018-02-26,18.82469940
2018-03-05,18.60840034
2018-03-12,18.69000053
2018-03-19,18.49049950
2018-03-26,18.18379974
2018-04-02,18.27400017
2018-04-09,18.03039932
2018-04-16,18.51510048
2018-04-23,18.60169983
2018-04-30,19.04590034
2018-05-07,19.40740013
2018-05-14,19.93779945
2018-05-21,19.52799988
2018-05-28,19.92510033
2018-06-04,20.27540016
2018-06-11,20.61300087
2018-06-18,20.31030083
2018-06-25,19.89730072
2018-07-02,19.03000069
2018-07-09,18.87229919
2018-07-16,19.00839996
2018-07-23,18.61330032
2018-07-30,18.54100037
2018-08-06,18.89620018
2018-08-13,18.87849998
2018-08-20,19.00620079
2018-08-27,19.06909943
2018-09-03,19.30769920
2018-09-10,18.83009911
2018-09-17,18.81410027
2018-09-24,18.70289993
2018-10-01,18.80879974
2018-10-08,18.97596931
2018-10-15,19.14049911
2018-10-22,19.34650040
2018-10-29,19.99810028
2018-11-05,20.12439919
2018-11-12,20.15460014
2018-11-19,20.39649963
2018-11-26,20.38220024
2018-12-03,20.33359909
2018-12-10,20.27269936
2018-12-17,19.92749977
2018-12-24,19.65200043
2018-12-31,19.40660095
2019-01-07,19.12470055
2019-01-14,18.99539948
2019-01-21,19.01329994
2019-01-28,19.08580017
2019-02-04,19.07418060
2019-02-11,19.22780037
2019-02-18,19.13030052
2019-02-25,19.25219917
2019-03-04,19.47839928
2019-03-11,19.29859924
2019-03-18,18.85000038
2019-03-25,19.41510010
2019-04-01,19.14679909
2019-04-08,18.74160004
2019-04-15,18.78709984
2019-04-22,19.02268028
2019-04-29,19.11319923
2019-05-06,19.22551918
2019-05-13,19.09919930
2019-05-20,19.02669907
2019-05-27,19.52503967
2019-06-03,19.67428017
2019-06-10,19.18110085
2019-06-17,18.98889923
2019-06-24,19.17284966
2019-07-01,18.99679947
2019-07-08,18.97330093
2019-07-15,18.95669937
2019-07-22,19.02619934
2019-07-29,19.21030045
2019-08-05,19.42765045
2019-08-12,19.59860039
2019-08-19,19.79969978
2019-08-26,20.12080002
2019-09-02,19.70569992
2019-09-09,19.55550003
2019-10-07,19.43470001
2019-10-14,19.17980003
2019-10-21,19.04669952
2019-10-28,19.09670067
2019-11-04,19.12159920
2019-11-11,19.17989922
2019-11-18,19.36660004
2019-11-25,19.53520012
2019-12-02,19.28669930
2019-12-09,18.99749947
2019-12-16,18.93849945
2019-12-23,18.84469986
2019-12-30,18.91130066
2020-01-06,18.78350067
2020-01-13,18.65299988
2020-01-20,18.78100014
2020-01-27,18.83699989
2020-02-03,18.75559998
2020-02-10,18.52680016
2020-02-17,18.90730095
2020-02-24,19.60510063
2020-03-02,20.09530067
2020-03-09,21.90019989
2020-03-16,24.40810013
2020-03-23,23.37599945
2020-03-30,24.96820068
2020-04-06,23.32460022
2020-04-13,23.69429970
2020-04-20,24.97960091
2020-04-27,24.58760071
2020-05-04,23.65760040
2020-05-11,23.94770050
2020-05-18,22.72340012
2020-05-25,22.15209961
2020-06-01,21.56200027
2020-06-08,22.23390007
