Week,urban_pop
1989-04-11,183798223.53846154
1989-04-18,183838636.57692307
1989-04-25,183879049.6153846
1989-05-02,183919462.65384614
1989-05-09,183959875.69230768
1989-05-16,184000288.73076922
1989-05-23,184040701.76923078
1989-05-30,184081114.80769232
1989-06-06,184121527.84615386
1989-06-13,184161940.8846154
1989-06-20,184202353.92307693
1989-06-27,184242766.96153846
1989-07-04,184283180.0
1989-07-11,184323593.03846154
1989-07-18,184364006.07692307
1989-07-25,184404419.1153846
1989-08-01,184444832.15384614
1989-08-08,184485245.19230768
1989-08-15,184525658.23076922
1989-08-22,184566071.26923078
1989-08-29,184606484.30769232
1989-09-05,184646897.34615386
1989-09-12,184687310.3846154
1989-09-19,184727723.42307693
1989-09-26,184768136.46153846
1989-10-03,184808549.5
1989-10-10,184848962.53846154
1989-10-17,184889375.57692307
1989-10-24,184929788.6153846
1989-10-31,184970201.65384614
1989-11-07,185010614.69230768
1989-11-14,185051027.73076922
1989-11-21,185091440.76923078
1989-11-28,185131853.80769232
1989-12-05,185172266.84615386
1989-12-12,185212679.8846154
1989-12-19,185253092.92307693
1989-12-26,185293505.96153846
1990-01-01,185333919.0
1990-01-08,185383583.1509434
1990-01-15,185433247.3018868
1990-01-22,185482911.4528302
1990-01-29,185532575.6037736
1990-02-05,185582239.754717
1990-02-12,185631903.9056604
1990-02-19,185681568.05660376
1990-02-26,185731232.20754716
1990-03-05,185780896.35849056
1990-03-12,185830560.50943395
1990-03-19,185880224.66037735
1990-03-26,185929888.81132075
1990-04-02,185979552.96226415
1990-04-09,186029217.11320755
1990-04-16,186078881.26415095
1990-04-23,186128545.41509435
1990-04-30,186178209.56603774
1990-05-07,186227873.71698114
1990-05-14,186277537.86792454
1990-05-21,186327202.0188679
1990-05-28,186376866.1698113
1990-06-04,186426530.3207547
1990-06-11,186476194.4716981
1990-06-18,186525858.6226415
1990-06-25,186575522.7735849
1990-07-02,186625186.9245283
1990-07-09,186674851.0754717
1990-07-16,186724515.2264151
1990-07-23,186774179.3773585
1990-07-30,186823843.5283019
1990-08-06,186873507.6792453
1990-08-13,186923171.8301887
1990-08-20,186972835.9811321
1990-08-27,187022500.13207546
1990-09-03,187072164.28301886
1990-09-10,187121828.43396226
1990-09-17,187171492.58490565
1990-09-24,187221156.73584905
1990-10-01,187270820.88679245
1990-10-08,187320485.03773585
1990-10-15,187370149.18867925
1990-10-22,187419813.33962265
1990-10-29,187469477.49056605
1990-11-05,187519141.64150944
1990-11-12,187568805.79245284
1990-11-19,187618469.94339624
1990-11-26,187668134.0943396
1990-12-03,187717798.245283
1990-12-10,187767462.3962264
1990-12-17,187817126.5471698
1990-12-24,187866790.6981132
1990-12-31,187916454.8490566
1991-01-07,187966119.0
1991-01-14,188034254.15384614
