Date,Open,High,Low,Close,Volume
04/25/2014,459.21,466.81,459.21,466.81,0
04/17/2014,463.82,463.82,458.62,458.62,0
04/11/2014,460.49,463.4,460.49,463.4,0
04/04/2014,469.28,469.28,460.07,460.07,0
03/28/2014,465.61,472.78,465.61,472.18,0
03/21/2014,470.9,472.18,464.59,464.59,0
03/14/2014,479.35,479.35,467.15,470.48,0
03/07/2014,491.89,497.01,483.87,483.87,0
02/28/2014,482,494.8,482,494.8,0
02/21/2014,485.07,485.07,482.76,482.76,0
02/14/2014,478.41,486.01,478.41,481.57,0
02/07/2014,475.77,479.18,474.06,479.18,0
01/31/2014,479.69,479.69,479.01,479.27,0
01/24/2014,478.58,483.96,478.16,478.16,0
01/17/2014,467.51,475.43,467.51,475.43,0
01/10/2014,466.98,467.12,465.96,467.12,0
01/03/2014,461.09,465.19,459.47,465.19,0
12/27/2013,457.17,460.58,456.4,460.58,0
12/20/2013,455.63,457,451.71,457,0
12/13/2013,454.1,454.27,452.73,453.41,0
12/06/2013,458.28,458.79,453.41,453.41,0
11/29/2013,450.26,458.19,450.26,458.19,0
11/22/2013,454.61,454.61,449.4,449.83,0
11/15/2013,456.4,460.07,456.4,460.07,0
11/08/2013,450.85,453.99,450.6,453.99,0
11/01/2013,456.66,458.28,450.77,450.77,0
10/25/2013,450.17,453.84,450.17,453.84,0
10/18/2013,454.44,454.78,449.74,450.6,0
10/11/2013,451.54,452.13,450.34,452.13,0
10/04/2013,450.43,451.96,449.74,451.96,0
09/27/2013,445.39,450.77,445.39,450.77,0
09/20/2013,441.04,442.83,439.08,442.83,0
09/13/2013,430.12,440.78,430.12,440.78,0
09/06/2013,430.72,430.72,427.39,428.92,0
08/30/2013,433.96,433.96,432.51,432.76,0
08/23/2013,437.12,437.37,432.42,432.42,0
08/16/2013,434.81,437.46,434.81,436.6,0
08/09/2013,425.09,433.7,425.09,433.02,0
08/02/2013,429.95,429.95,424.83,424.83,0
07/26/2013,428.67,429.69,428.33,429.52,0
07/19/2013,432.34,432.34,427.47,430.8,0
07/12/2013,419.44,430.29,419.44,430.29,0
07/05/2013,416.98,416.98,416.04,416.21,0
06/28/2013,413.57,419.54,413.4,416.47,0
06/21/2013,407,415.02,406.23,415.02,0
06/14/2013,404.18,408.53,403.84,403.84,0
06/07/2013,407.76,409.98,406.91,406.91,0
05/31/2013,407.59,411.09,406.31,411.09,0
05/24/2013,406.66,410.84,403.41,406.91,0
05/17/2013,412.54,412.54,404.61,404.61,0
05/10/2013,413.99,413.99,409.97,411.98,0
05/03/2013,418.26,422.01,415.78,415.78,0
04/26/2013,412.37,419.45,412.37,418.43,0
04/19/2013,408.96,415.78,408.96,413.99,0
04/12/2013,416.47,416.47,409.56,412.12,0
04/05/2013,423.55,423.55,414.68,414.68,0
03/28/2013,414.59,424.49,413.48,424.49,0
03/22/2013,414.25,416.38,412.88,413.57,0
03/15/2013,427.66,427.66,413.99,413.99,0
03/08/2013,444.88,444.88,429.62,429.62,0
03/01/2013,438.31,443.52,438.31,443.52,0
02/22/2013,442.15,442.15,436.26,437.63,0
02/15/2013,444.88,445.22,441.64,445.22,0
02/08/2013,451.45,451.54,444.11,444.11,0
02/01/2013,455.29,455.29,451.11,451.11,0
01/25/2013,445.31,446.25,444.88,446.25,0
01/18/2013,459.9,459.9,443.09,443.09,0
01/11/2013,453.92,456.52,453.92,456.52,0
01/04/2013,451.54,456.83,451.54,453.75,0
12/28/2012,454.69,456.57,454.1,455.89,0
12/21/2012,455.63,458.53,453.75,455.89,0
12/14/2012,444.62,452.56,444.62,452.56,0
12/07/2012,446.33,447.18,444.2,445.05,0
11/30/2012,451.88,451.88,445.05,445.05,0
11/23/2012,444.2,452.99,444.2,452.99,0
11/16/2012,438.74,443.77,438.74,443.77,0
11/09/2012,427.56,436.55,427.56,436.55,0
11/02/2012,429.78,429.78,427.73,428.07,0
10/26/2012,434.39,434.39,427.47,427.47,0
10/19/2012,429.95,437.03,429.95,434.39,0
10/12/2012,431.4,432.51,428.33,428.33,0
10/05/2012,430.46,431.31,429.01,430.72,0
09/28/2012,438.23,438.23,425.6,425.6,0
09/21/2012,437.88,440.61,437.37,438.48,0
09/14/2012,431.54,443.43,431.54,443.43,0
09/07/2012,430.63,431.66,430.2,431.66,0
08/31/2012,421.42,430.12,421.42,430.12,0
08/24/2012,428.24,428.24,424.74,424.74,0
08/17/2012,431.31,433.11,427.56,427.56,0
08/10/2012,424.4,429.27,423.81,428.41,0
08/03/2012,429.44,429.44,423.46,424.49,0
07/27/2012,421.5,427.56,419.54,427.56,0
07/20/2012,411.43,424.57,409.47,420.14,0
07/13/2012,409.42,414.51,409.42,414.51,0
07/06/2012,407.08,407.76,406.66,406.83,0
06/29/2012,395.48,411.09,394.11,411.09,0
06/22/2012,402.65,402.65,397.78,398.98,0
06/15/2012,410.58,410.58,398.12,398.12,0
06/08/2012,409.47,412.37,406.83,412.37,0
06/01/2012,408.19,408.19,402.47,408.19,0
