Date,Price,Open,High,Low,Vol.,Change %
23-May-10,73.97,70.62,75.72,67.15,1.90M,5.61%
16-May-10,70.04,71.79,72.52,64.24,1.17M,-2.19%
9-May-10,71.61,76.11,78.51,70.83,2.27M,-4.66%
2-May-10,75.11,86.2,87.15,74.51,2.54M,-12.81%
25-Apr-10,86.15,85.22,86.5,81.29,1.99M,1.21%
18-Apr-10,85.12,82.92,85.19,80.53,1.34M,2.26%
11-Apr-10,83.24,85.17,86.39,82.51,1.94M,-1.98%
4-Apr-10,84.92,85.31,87.09,84.12,1.75M,0.06%
28-Mar-10,84.87,80.24,85.37,80.18,1.16M,6.09%
21-Mar-10,80,80.93,82.2,78.57,1.22M,-0.84%
14-Mar-10,80.68,81.13,83.09,79.13,1.21M,-0.69%
7-Mar-10,81.24,81.79,83.16,80.16,1.67M,-0.32%
28-Feb-10,81.5,79.84,82.07,78.06,1.49M,2.31%
21-Feb-10,79.66,80.1,80.51,77.05,1.31M,-0.19%
14-Feb-10,79.81,74.02,80.1,73.71,1.11M,7.66%
7-Feb-10,74.13,72.18,75.69,70.77,2.00M,4.13%
31-Jan-10,71.19,72.84,78.04,69.5,2.16M,-2.33%
24-Jan-10,72.89,74.24,75.42,72.43,1.52M,-2.21%
17-Jan-10,74.54,77.85,79.15,74.01,903.80K,-4.44%
10-Jan-10,78,82.88,83.95,77.7,1.51M,-5.74%
3-Jan-10,82.75,79.63,83.52,79.63,1.45M,4.27%
27-Dec-09,79.36,77.92,80,77.76,522.43K,1.68%
20-Dec-09,78.05,73.05,78.25,71.99,530.89K,6.39%
13-Dec-09,73.36,69.63,74.69,68.59,1.13M,4.99%
6-Dec-09,69.87,75.8,76.1,69.46,2.06M,-7.42%
29-Nov-09,75.47,76.05,79.04,74.85,1.77M,-0.76%
22-Nov-09,76.05,77.8,79.92,72.39,1.43M,-0.87%
15-Nov-09,76.72,76.58,80.33,76.2,1.14M,0.48%
8-Nov-09,76.35,77.87,80.51,75.57,1.74M,-1.39%
1-Nov-09,77.43,77.02,81.06,76.55,1.76M,0.56%
25-Oct-09,77,79.65,81.58,76.85,1.87M,-4.35%
18-Oct-09,80.5,78.56,82,77.64,1.16M,2.51%
11-Oct-09,78.53,72.24,78.75,72.05,1.51M,9.42%
4-Oct-09,71.77,69.81,72.55,68.05,1.73M,2.60%
27-Sep-09,69.95,66.15,71.39,65.41,1.51M,5.95%
20-Sep-09,66.02,71.78,72.2,65.05,1.15M,-8.36%
13-Sep-09,72.04,69.15,73.16,68.02,1.24M,3.97%
6-Sep-09,69.29,67.87,72.9,67.54,1.43M,1.87%
30-Aug-09,68.02,71,73.36,67.05,1.35M,-6.49%
23-Aug-09,72.74,73.75,75,69.83,1.30M,-1.56%
16-Aug-09,73.89,67.69,74.72,65.23,856.18K,9.45%
9-Aug-09,67.51,70.67,72.21,67.12,1.68M,-4.82%
2-Aug-09,70.93,69.3,72.84,69.09,1.61M,2.13%
26-Jul-09,69.45,68.05,69.74,62.7,1.59M,2.06%
19-Jul-09,68.05,63.38,68.2,63.19,1.02M,7.06%
12-Jul-09,63.56,59.86,63.99,58.32,1.32M,6.13%
5-Jul-09,59.89,66.49,67.17,58.72,1.43M,-10.25%
28-Jun-09,66.73,69.25,73.38,66.26,1.11M,-3.51%
21-Jun-09,69.16,69.89,71.29,66.25,1.02M,-0.56%
14-Jun-09,69.55,72.2,72.77,68.9,1.07M,-3.46%
7-Jun-09,72.04,68.32,73.23,66.78,1.49M,5.26%
31-May-09,68.44,66.48,70.32,64.95,1.46M,3.21%
24-May-09,66.31,61.5,66.64,59.53,1.07M,7.52%
17-May-09,61.67,56.47,62.26,56.12,869.41K,9.46%
10-May-09,56.34,58.49,60.08,56.07,1.38M,-3.91%
3-May-09,58.63,52.62,58.75,52.56,1.47M,10.21%
26-Apr-09,53.2,51.45,53.65,48.01,1.14M,3.20%
19-Apr-09,51.55,50.16,51.75,43.83,810.64K,2.42%
12-Apr-09,50.33,52,52.15,48.84,1.14M,-3.66%
5-Apr-09,52.24,52.4,53.6,47.37,1.13M,-0.51%
29-Mar-09,52.51,52.25,53.9,47.26,1.18M,0.25%
22-Mar-09,52.38,52.13,54.66,51.62,1.10M,2.59%
15-Mar-09,51.06,45.2,52.25,43.62,702.27K,10.40%
8-Mar-09,46.25,45.76,48.83,42.08,1.56M,1.60%
1-Mar-09,45.52,44.34,46.3,39.44,1.34M,1.70%
22-Feb-09,44.76,39.73,45.3,37.65,1.41M,14.95%
15-Feb-09,38.94,37.81,39.85,34.13,335.67K,3.81%
8-Feb-09,37.51,39.88,42.43,33.55,1.60M,-6.62%
1-Feb-09,40.17,41.75,42.68,38.6,1.51M,-3.62%
25-Jan-09,41.68,46.05,48.59,40.18,1.36M,-10.31%
18-Jan-09,46.47,36.14,47,32.7,892.11K,27.28%
11-Jan-09,36.51,40.55,40.8,33.2,1.20M,-10.58%
4-Jan-09,40.83,47.04,50.47,39.38,1.49M,-11.89%
28-Dec-08,46.34,38.4,46.74,36.94,661.14K,22.89%
21-Dec-08,37.71,42.79,43.44,35.13,453.27K,11.34%
14-Dec-08,33.87,46.77,50.05,32.4,811.15K,-26.82%
7-Dec-08,46.28,41.64,49.12,41.55,1.50M,13.40%
30-Nov-08,40.81,54.62,54.62,40.5,1.23M,-25.02%
23-Nov-08,54.43,50.97,55.98,48.8,834.07K,9.01%
16-Nov-08,49.93,56.74,58.98,48.25,941.20K,-12.46%
9-Nov-08,57.04,61.8,65.56,54.67,1.37M,-6.55%
2-Nov-08,61.04,67.37,71.77,59.97,1.37M,-9.98%
26-Oct-08,67.81,64.78,70.6,61.3,1.31M,5.71%
19-Oct-08,64.15,72.16,76.12,62.65,944.99K,-10.72%
12-Oct-08,71.85,80.12,84.83,68.57,1.12M,-7.53%
5-Oct-08,77.7,92.5,93.02,77.09,1.58M,-17.23%
28-Sep-08,93.88,106.89,106.91,91.3,1.24M,-12.17%
21-Sep-08,106.89,104.97,130,103.22,1.00M,2.24%
14-Sep-08,104.55,101,105.25,90.51,1.43M,3.33%
7-Sep-08,101.18,107.75,109.89,99.99,1.57M,-4.75%
